location,date,total_cases_per_million,new_cases_per_million
United States,2023-01-21,,
United States,2023-01-22,297494.959,910.536
United States,2023-01-23,,
United States,2023-01-24,,
United States,2023-01-25,,
United States,2023-01-26,,
United States,2023-01-27,,
United States,2023-01-28,,
United States,2023-01-29,298366.6,871.64
United States,2023-01-30,,
United States,2023-01-31,,
United States,2023-02-01,,
United States,2023-02-02,,
United States,2023-02-03,,
United States,2023-02-04,,
United States,2023-02-05,299210.261,843.661
United States,2023-02-06,,
United States,2023-02-07,,
United States,2023-02-08,,
United States,2023-02-09,,
United States,2023-02-10,,
United States,2023-02-11,,
United States,2023-02-12,300032.715,822.454
United States,2023-02-13,,
United States,2023-02-14,,
United States,2023-02-15,,
United States,2023-02-16,,
United States,2023-02-17,,
United States,2023-02-18,,
United States,2023-02-19,300784.65,751.935
United States,2023-02-20,,
United States,2023-02-21,,
United States,2023-02-22,,
United States,2023-02-23,,
United States,2023-02-24,,
United States,2023-02-25,,
United States,2023-02-26,301574.411,789.761
United States,2023-02-27,,
United States,2023-02-28,,
United States,2023-03-01,,
United States,2023-03-02,,
United States,2023-03-03,,
United States,2023-03-04,,
United States,2023-03-05,302247.881,673.47
United States,2023-03-06,,
United States,2023-03-07,,
United States,2023-03-08,,
United States,2023-03-09,,
United States,2023-03-10,,
United States,2023-03-11,,
United States,2023-03-12,302752.161,504.281
United States,2023-03-13,,
United States,2023-03-14,,
United States,2023-03-15,,
United States,2023-03-16,,
United States,2023-03-17,,
United States,2023-03-18,,
United States,2023-03-19,303126.435,374.274
United States,2023-03-20,,
United States,2023-03-21,,
United States,2023-03-22,,
United States,2023-03-23,,
United States,2023-03-24,,
United States,2023-03-25,,
United States,2023-03-26,303578.615,452.18
United States,2023-03-27,,
United States,2023-03-28,,
United States,2023-03-29,,
United States,2023-03-30,,
United States,2023-03-31,,
United States,2023-04-01,,
United States,2023-04-02,304099.937,521.322
United States,2023-04-03,,
United States,2023-04-04,,
United States,2023-04-05,,
United States,2023-04-06,,
United States,2023-04-07,,
United States,2023-04-08,,
United States,2023-04-09,304405.805,305.868
United States,2023-04-10,,
United States,2023-04-11,,
United States,2023-04-12,,
United States,2023-04-13,,
United States,2023-04-14,,
United States,2023-04-15,,
United States,2023-04-16,304713.402,307.597
United States,2023-04-17,,
United States,2023-04-18,,
United States,2023-04-19,,
United States,2023-04-20,,
United States,2023-04-21,,
United States,2023-04-22,,
United States,2023-04-23,305004.475,291.073
United States,2023-04-24,,
United States,2023-04-25,,
United States,2023-04-26,,
United States,2023-04-27,,
United States,2023-04-28,,
United States,2023-04-29,,
United States,2023-04-30,305260.126,255.651
United States,2023-05-01,,
United States,2023-05-02,,
United States,2023-05-03,,
United States,2023-05-04,,
United States,2023-05-05,,
United States,2023-05-06,,
United States,2023-05-07,305488.229,228.103
United States,2023-05-08,,
United States,2023-05-09,,
United States,2023-05-10,,
United States,2023-05-11,,
United States,2023-05-12,,
United States,2023-05-13,,
United States,2023-05-14,305763.91,275.681
